sinno_id,bioeconomy_vision,innovation_type,notes
7374001,2,999,"predecessor of modern harvester"
7374001,0,999,"predecessor of modern harvester"
7388001,9,999,"does this significantly contribute to upgrading of raw material to satisfy bv2 condition"
7388001,2,999,"does this significantly contribute to upgrading of raw material to satisfy bv2 condition"
7388001,0,999,"does this significantly contribute to upgrading of raw material to satisfy bv2 condition"
7428001,2,601,"good example for innovation which could go either way"
7428001,2,602,"good example for innovation which could go either way"
7428001,3,601,"good example for innovation which could go either way"
7428001,3,602,"good example for innovation which could go either way"
7428001,0,601,"good example for innovation which could go either way"
7428001,0,602,"good example for innovation which could go either way"
7429001,2,112,"mentions several times that it is env friendly, but not why"
7429001,3,112,"mentions several times that it is env friendly, but not why"
7429001,0,112,"mentions several times that it is env friendly, but not why"
7453001,2,207,"""motsvarar nu de krav som skogsägare ställer på en modern efterföljare till hästen i skogsbruket"""
7453001,0,207,"""motsvarar nu de krav som skogsägare ställer på en modern efterföljare till hästen i skogsbruket"""
7522001,9,161,"check if bv"
7522001,0,161,"check if bv"
7533001,0,000,"source does not seem to mention innovation in description"
7777001,3,207,"""Flear av deltagarna [av produktdemonstration vid Skogshögskolan] menade att skogsmaskineran måste utformaas annolrlunda än nu om de skall göras skonsamare för underlaget."""
7777001,3,213,"""Flear av deltagarna [av produktdemonstration vid Skogshögskolan] menade att skogsmaskineran måste utformaas annolrlunda än nu om de skall göras skonsamare för underlaget."""
7777001,2,207,"""Flear av deltagarna [av produktdemonstration vid Skogshögskolan] menade att skogsmaskineran måste utformaas annolrlunda än nu om de skall göras skonsamare för underlaget."""
7777001,2,213,"""Flear av deltagarna [av produktdemonstration vid Skogshögskolan] menade att skogsmaskineran måste utformaas annolrlunda än nu om de skall göras skonsamare för underlaget."""
7777001,0,207,"""Flear av deltagarna [av produktdemonstration vid Skogshögskolan] menade att skogsmaskineran måste utformaas annolrlunda än nu om de skall göras skonsamare för underlaget."""
7777001,0,213,"""Flear av deltagarna [av produktdemonstration vid Skogshögskolan] menade att skogsmaskineran måste utformaas annolrlunda än nu om de skall göras skonsamare för underlaget."""
9398001,1,206,"not forest"
9398001,1,212,"not forest"
9398001,0,206,"not forest"
9398001,0,212,"not forest"
9398001,3,206,"not forest"
9398001,3,212,"not forest"
9539001,2,207,"unsure because of image id 10322, mentions drive of industry to become more environmentally friendly"
9539001,2,602,"unsure because of image id 10322, mentions drive of industry to become more environmentally friendly"
9539001,3,207,"unsure because of image id 10322, mentions drive of industry to become more environmentally friendly"
9539001,3,602,"unsure because of image id 10322, mentions drive of industry to become more environmentally friendly"
9539001,0,207,"unsure because of image id 10322, mentions drive of industry to become more environmentally friendly"
9539001,0,602,"unsure because of image id 10322, mentions drive of industry to become more environmentally friendly"
10882001,0,207,"""Kisel är inte giftig utan verkansprincip är mekanisk"", ""Överblivit medel kann hällas i komposten"", ""Underhållet är enkelt och träet håller sig fräscht utan regelbunden oljning"""
10882001,3,207,"""Kisel är inte giftig utan verkansprincip är mekanisk"", ""Överblivit medel kann hällas i komposten"", ""Underhållet är enkelt och träet håller sig fräscht utan regelbunden oljning"""
10882001,2,207,"""Kisel är inte giftig utan verkansprincip är mekanisk"", ""Överblivit medel kann hällas i komposten"", ""Underhållet är enkelt och träet håller sig fräscht utan regelbunden oljning"""
10928001,9,102,"possibly bv2 or bv9, edge case as uses fossil input to substitue bioinput"
10928001,9,207,"possibly bv2 or bv9, edge case as uses fossil input to substitue bioinput"
10928001,0,102,"possibly bv2 or bv9, edge case as uses fossil input to substitue bioinput"
10928001,0,207,"possibly bv2 or bv9, edge case as uses fossil input to substitue bioinput"
10928001,2,102,"possibly bv2 or bv9, edge case as uses fossil input to substitue bioinput"
10928001,2,207,"possibly bv2 or bv9, edge case as uses fossil input to substitue bioinput"
11016001,2,103,"""Finessen med den nya limtekniken
är att limmet fördelas jämnare,
och därmed också mer ekonomiskt,
på fibern än vad man tidigare
har kunnat åstadkomma."" 12018-00-00"
11016001,0,103,"""Finessen med den nya limtekniken
är att limmet fördelas jämnare,
och därmed också mer ekonomiskt,
på fibern än vad man tidigare
har kunnat åstadkomma."" 12018-00-00"
11399001,1,110,"unsure if bv 1; good example of bv 2"
11399001,1,202,"unsure if bv 1; good example of bv 2"
11399001,1,206,"unsure if bv 1; good example of bv 2"
11399001,0,110,"unsure if bv 1; good example of bv 2"
11399001,0,202,"unsure if bv 1; good example of bv 2"
11399001,0,206,"unsure if bv 1; good example of bv 2"
11399001,2,110,"unsure if bv 1; good example of bv 2"
11399001,2,202,"unsure if bv 1; good example of bv 2"
11399001,2,206,"unsure if bv 1; good example of bv 2"
12639001,1,206,"""Tekniken heter bio-energy with carbon
capture and storage och förkortas
BECCS. Den går ut på att
fånga in koldioxiden från processindustrier
med biomassa som råvara,
till exempel etanolfabriker där
koldioxid frigörs i jäsningsprocesser
eller biogasanläggningar och
pappersindustrier."" 14372-00-00"
12639001,1,211,"""Tekniken heter bio-energy with carbon
capture and storage och förkortas
BECCS. Den går ut på att
fånga in koldioxiden från processindustrier
med biomassa som råvara,
till exempel etanolfabriker där
koldioxid frigörs i jäsningsprocesser
eller biogasanläggningar och
pappersindustrier."" 14372-00-00"
12639001,0,206,"""Tekniken heter bio-energy with carbon
capture and storage och förkortas
BECCS. Den går ut på att
fånga in koldioxiden från processindustrier
med biomassa som råvara,
till exempel etanolfabriker där
koldioxid frigörs i jäsningsprocesser
eller biogasanläggningar och
pappersindustrier."" 14372-00-00"
12639001,0,211,"""Tekniken heter bio-energy with carbon
capture and storage och förkortas
BECCS. Den går ut på att
fånga in koldioxiden från processindustrier
med biomassa som råvara,
till exempel etanolfabriker där
koldioxid frigörs i jäsningsprocesser
eller biogasanläggningar och
pappersindustrier."" 14372-00-00"
12639001,2,206,"""Tekniken heter bio-energy with carbon
capture and storage och förkortas
BECCS. Den går ut på att
fånga in koldioxiden från processindustrier
med biomassa som råvara,
till exempel etanolfabriker där
koldioxid frigörs i jäsningsprocesser
eller biogasanläggningar och
pappersindustrier."" 14372-00-00"
12639001,2,211,"""Tekniken heter bio-energy with carbon
capture and storage och förkortas
BECCS. Den går ut på att
fånga in koldioxiden från processindustrier
med biomassa som råvara,
till exempel etanolfabriker där
koldioxid frigörs i jäsningsprocesser
eller biogasanläggningar och
pappersindustrier."" 14372-00-00"
13016001,9,501,"image barely readable"
13016001,9,601,"image barely readable"
13016001,0,501,"image barely readable"
13016001,0,601,"image barely readable"
